,price,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,availability_365,host_identity_verified,host_is_superhost,bedrooms_per_person,bathrooms_per_person,past_and_future_popularity,Bondi,Bondi Beach,Coogee,Darlinghurst,Manly,North Bondi,Randwick,Redfern,Surry Hills,Sydney,Apartment,Bed and breakfast,Boutique hotel,Bungalow,Condominium,Cottage,Guest suite,Guesthouse,Hostel,Hotel,House,Loft,Other,Serviced apartment,Townhouse,Villa,Entire home/apt,Hotel room,Private room,Shared room,flexible,luxury_moderate,moderate,strict_14_with_grace_period,super_strict_30,super_strict_60
75,385.0,151.27255,-33.88078,100.0,1.0,10.0,950.0,250.0,6.0,3.0,3.0,4.0,365.0,1.0,0.0,0.5,0.5,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77,76.0,151.2443,-33.919709999999995,97.0,51.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,288.0,0.0,0.0,0.5,0.5,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,275.0,151.22095,-33.877340000000004,96.0,0.0,14.0,950.0,100.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,825.0,151.21186,-33.84796,89.0,65.0,5.0,1000.0,0.0,6.0,3.5,3.0,3.0,298.0,0.0,1.0,0.5,0.5833333333333334,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
85,201.0,151.21532,-33.878659999999996,95.0,23.0,2.0,250.0,89.0,2.0,1.0,1.0,1.0,344.0,1.0,0.0,0.5,0.5,0.06666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
88,76.0,151.26276000000001,-33.88966,96.0,0.0,5.0,250.0,250.0,1.0,2.0,2.0,3.0,363.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89,249.0,151.27039,-33.88985,100.0,1.0,4.0,0.0,120.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
93,111.0,151.25048999999999,-33.92322,96.0,11.0,1.0,0.0,50.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
94,150.0,151.27181000000002,-33.89333,97.0,23.0,7.0,250.0,120.0,2.0,1.0,1.0,1.0,83.0,0.0,0.0,0.5,0.5,0.27380952380952384,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,122.0,151.21726,-33.87664,95.0,317.0,1.0,140.0,111.0,2.0,1.0,1.0,1.0,161.0,0.0,1.0,0.5,0.5,1.9567901234567902,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
